iter	Passed	Remaining
877	2338	324
878	2339	322
879	2346	320
880	2347	317
881	2348	314
882	2352	311
883	2356	309
884	2360	306
885	2370	304
886	2371	302
887	2372	299
888	2376	296
889	2377	293
890	2378	290
891	2380	288
892	2386	285
893	2388	283
894	2399	281
895	2400	278
896	2404	276
897	2407	273
898	2412	271
899	2413	268
900	2415	265
901	2418	262
902	2419	259
903	2426	257
904	2434	255
905	2435	252
906	2436	249
907	2443	247
908	2445	244
909	2448	242
910	2450	239
911	2451	236
912	2456	234
913	2457	231
914	2458	228
915	2464	225
916	2465	223
917	2466	220
918	2473	218
919	2487	216
920	2488	213
921	2497	211
922	2499	208
923	2505	206
924	2506	203
925	2507	200
926	2508	197
927	2511	194
928	2512	192
929	2513	189
930	2514	186
931	2516	183
932	2519	180
933	2521	178
934	2522	175
935	2524	172
936	2525	169
937	2526	167
938	2527	164
939	2529	161
940	2533	158
941	2534	156
942	2535	153
943	2536	150
944	2542	147
945	2542	145
946	2547	142
947	2548	139
948	2549	136
949	2550	134
950	2554	131
951	2556	128
952	2556	126
953	2557	123
954	2563	120
955	2564	118
956	2568	115
957	2569	112
958	2570	109
959	2571	107
960	2573	104
961	2577	101
962	2578	99
963	2582	96
964	2583	93
965	2584	90
966	2591	88
967	2594	85
968	2595	83
969	2597	80
970	2599	77
971	2601	74
972	2603	72
973	2604	69
974	2605	66
975	2610	64
976	2640	62
977	2641	59
978	2641	56
979	2642	53
980	2643	51
981	2648	48
982	2649	45
983	2650	43
984	2651	40
985	2652	37
986	2656	34
987	2657	32
988	2658	29
989	2659	26
990	2662	24
991	2663	21
992	2723	19
993	2725	16
994	2729	13
995	2734	10
996	2736	8
997	2738	5
998	2741	2
999	2742	0
